company,source,review_text,rating,review_date,scraped_at
Arbuz,yandex_reviews,Очень нравится магазин большой выбор товаров,5,2025-09-21,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Постоянный клиент, у ребят всегда все отлично по качеству :) Спасибо за Вашу работу!",5,2025-08-14,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Приложение иногда даёт сбои, но удобно в пользовании, есть скидки, есть промокоды на скидку. Доставляют вовремя, продукты хорошо упакованы, в отдельных пакетах. Так же принимают пакеты обратно на переработку.",5,2025-08-14,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,Хороший выбор продуктов. Всегда все свежее,5,2025-07-06,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Лучший онлайн-магазин. Покупаю здесь больше 10 лет. Без навязчивой рекламы, все быстро, четко и профессионально.",5,2025-05-10,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Здравствуйте, очень нравится магазин.  Всегда все аккуратно и в основном вовремя. Курьеры все очень доброжелательные. Нравится, что есть всегда обратная связь и можно  диспетчеру объяснить о товаре, который был не совсем тот или о любой претензии. Спасибо магазин Арбуз!",5,2024-12-23,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,Отличный магазин с быстрой доставкой. Выбор продуктов огромный и всегда качественный.,5,2024-12-23,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,Быстро доставляют продукты. Советую.,5,2024-10-02,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Необходимо проверять продукты которые привозят, например, выбираешь креветки стоимостью почти 10 тыс тг (Премиум), а привозят за 5 тыс тг (Стандарт) предварительно заклеив этикетку.",3,2023-06-06,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Отличная компания! Быстрая доставка, свежая продукция, отличная упаковка",5,2023-04-10,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Удобный,доставка лучше чем в других супермаркетах с доставкой .Товар приходит со свежими сроками и оперативно.И цены ниже чем в некоторых супермаркетах или аналогичные",5,2023-02-19,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Доставили сначала не тот заказ, после звонка быстро привезли другой. Потом обнаружили испорченный сыр, долго меняли. Испорченный сыр зачем-то забрали себе, хотя его просто надо было выкинуть. Глобально продукты норм, доставка норм.",4,2023-01-19,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Своевременно доставили товар,оператор помог с решением мелкой проблемы.",5,2022-12-19,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Доставка продуктов в этом сервисе всегда выручает. Не было такого, чтобы привезли некрасивые или не свежие фрукты, овощи, зелень.  Мясо, курица хорошего качества. Все супер, и сайт, и доставка. Желаею сервису дальнейшего процветания!!!",5,2022-11-06,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Заказываю продукты отсюда регулярно 
Есть переплата, но зато с доставкой на дом 
Самое интересное что заказывая фрукты или скоропортящиеся продукты - всегда приезжает только свежее, даже в магазине так не получится купить 
Фрукты и овощи тоже всегда один к одному приезжают, как на подбор",5,2022-09-08,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Заказываю часто,так что все круто. Выбора много,доставка вообще отлично работает,плюс подарки дают иногда виде товара. Так что все круто спасибо.",5,2022-08-03,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"В целом очень удобный сайт с приятным дизайном. Однако имеются вопросы к непосредственному содержанию. Там есть ошибки. И ладно бы ошибки. По обнаружению ошибок, которые вводят в заблуждение клиентов, написал сразу в службу поддержки. Поблагодарили, сказали исправят. Прошёл ровно месяц - ошибки так и остались.",3,2022-01-01,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,Сервис отличный. Ценник считаю несколько завышенным.,4,2021-03-24,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"супер, огромное вам спасибо. но не всегда курьеры носят маски и перчатки и пос-терминалы, пожалуйста, контролируйте этот вопрос очень сильно. все-таки, важно сейчас (да и всегда теперь, я думаю). всем здоровья!",4,2020-11-17,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Задумка хорошая, реализация - как всегда. Клиенто-ориентированность хромает, зачем? и так хватает, видимо. 
К самой доставке вопросов нет, ребята молодцы, все вовремя и четко, упаковано всё очень аккуратно, отдельное спасибо.
Но за неделю до доставки можно все-таки спланировать свои поставки (как минимум ХЛЕБА) так, чтобы хватило товаров, или хотя бы какие-то альтернативы предложить и информировать заблаговременно, а не просто прислать SMS уведомление меньше чем за час до доставки о том, что отсутствуют некоторые позиции. И свалить объяснения на несчастного курьера.
Заказывал опираясь на имя сервиса и его многолетний опыт работы. Практика показывает, что это ничего не значит, а может даже обратное... за годы работы устали от назойливых клиентов. Всё заказывают и заказывают, утомили...
по факту:
Качество продуктов, упаковка, доставка, свежесть - на высоте.
Работа с клиентами, планирование собственных запасов, информирование - увы ситуация обратная, и в результате печатления от использования сервиса негативные...",3,2020-05-20,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Прекрасный магазин, особенно когда трудно выходить из дома.  Спасибо. Всегда свежие товары. Привозят всегда в назначенное время. Если будет расширяться ассортимент товаров, то  будет прекрасно. СПАСИБО!",5,2020-04-10,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Не очень большой ассортимент, однако продукты подбираются очень качественно, со сроками годностями все в порядке. Мы корпоративные клиенты - персональный менеджер очень приветлива и готова помочь.",4,2021-05-29,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Видела, что по городу ездят машины с логотипом arbuz.kz . Никогда не пользовалась доставками продуктов. А тут, случайно увидела интернет-рекламу, что в Арбузе будет банановый день, стоимость 1 кг бананов - 1 тенге! Ткнула заказать. Сама и не верила, что привезут. Думала, как всегда, в довес надо было ещё что-то купить, чтоб получить эти бананы. Но! На следующий день, они привезли 1 кг бананов за 1 тенге ! Доставка бесплатная! Я была приятно удивлена. Теперь обязательно буду пользоваться услугами доставки продуктов. Спасибо Арбуз.кз!",5,2019-07-25,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Давно пользуюсь данным сайтом доставки.  Доставляют вовремя, отзваниваются, проверяют. Продукты питания свежие. Довольна сервисом",5,2021-06-28,2026-01-20T18:04:27.709647
Arbuz,yandex_reviews,"Здорово! Есть очень много интересных продуктов, которые не видела на полках магазина. Хотя к сожалению не все, что интересовало.",5,2020-02-12,2026-01-20T18:04:27.709647
Arbuz,wikicity,"Сервис радует, тк удобно сделан и продумано, для клиентов выгода во всех смыслах. То есть понято что любая доставка экономит время и это важный момент, но арбуз по факту еще и деньги экономит, тк у них реально большой кешбек и его аккуратно начисляют. И работают на совесть, привозят все вовремя, со сроками годности нет проблем, все свежее, то есть видно, что правда с заботой о клиентах все делается",5,2025-12-23,2026-01-20T18:04:28.689599
Arbuz,wikicity,"Пользуюсь в основном слотами на вечер, опаздывали всего один раз, и то минут на пять. Промокод за опоздание прислали сразу. Цены по мне нормальные, как-то не замечала что переплачиваю по сравнению с обычными магазинами. Тем более что еще и кешбек возвращают (но это через приложение если или оплата картой Freedom). Качество, выбор продуктов, разнообразие, классные замороженные десерты, классные позиции итальянские и немецкие. И доставка от 5 тысяч бесплатная",5,2025-12-10,2026-01-20T18:04:28.689599
Arbuz,wikicity,"Вариант для работающих удобный, тк работают допоздна и можно выбрать время доставки на конец рабочего дня. Обычно утром собираю корзину, часам к 8 вечера привозит курьер. Замены бывают редко, обычно все привозят ровно как в заказе. Как правило беру бакалею, заморозку, реже молочку. Периодически товары для дома докидываю. Бывает что какие-то игрушки заказываю для крестница, детских товаров тоже достаточно. Все делаю через приложение, получается выгодно за счет кешбека. В общем, советую, тк и удобно и выгодно по факту",5,2025-11-28,2026-01-20T18:04:28.689599
Arbuz,wikicity,"Для меня тут все сошлось, и качество продуктов, и их свежесть, и то, что удобно делать заказ в приложении. Плюс отношение сервиса к клиентам. Служба поддержки помогает, причем довольно быстро. Есть кешбек, у меня больше 20% от стоимости заказа возвращается на карту, при этом заказы делаю не в приложении(мне удобнее с компа), но оплачивают картой фридом банка. И выбор отдельно отмечу: много импортных позиций, не только российские имею в виду (ест Германия, Италия) и кроме продуктов и товаров есть аптека",5,2025-11-14,2026-01-20T18:04:28.689599
Arbuz,wikicity,"Выбрала тк нормально соотносится качество продуктов, работа службы доставки и цены. Для бесплатной достаточно набрать корзину на 5 тысяч тенге, за скорость платишь 900 тенге. Такая доставка не позже часа привозит продукты. Без доплаты если - выбираешь при заказе интервал временной и в него обычно укладываются. Если вдруг нет - клиент не в накладе, дают бонусы. И если платить картой фридом банка или просто в приложении сделать заказ - вернут кешбек. Так что приятно и экономишь время и деньги",5,2025-10-10,2026-01-20T18:04:28.689599
