company,source,review_text,rating,review_date,scraped_at
Carefood,yandex,"Я хотела бы поделиться своим положительным опытом покупки продуктов в магазине Carefood. Этот магазин стал для меня настоящим открытием, так как здесь представлен широкий ассортимент свежих и качественных продуктов. Особенно радует разнообразие овощей.",5,2025-03-09,2026-01-21 21:50:00
Carefood,yandex,"Отличный супермаркет, огромный выбор товаров и ассортимента. Не просроченные продукты. Цены более менее адекватные. Находится в доступном районе. Парковка всегда есть.",5,2025-12-16,2026-01-21 21:50:00
Carefood,yandex,"Хороший супермаркет. Большой выбор продуктов. Часто заказываю доставку из данного супермаркета, все продукты свежие, доставляют быстро. Мне очень нравится данный супермаркет.",5,2025-10-05,2026-01-21 21:50:00
Carefood,yandex,"Очень классный магазин! Ассортимент товара очень разнообразный. Есть практически все, только кошелек потолще. Все аккуратно. Нравится выпечка, но не в самом карифуде, а когда выходишь с магазина.",5,2025-12-06,2026-01-21 21:50:00
Carefood,yandex,"Самый на мой взгляд шикарный гипермаркет, есть все, что ищите, вы в поисках необыкновенных вкусов и чего то новенького то тогда вам сюда!!!! Полочки, ряды с продуктами все расставлено с умом и со всеми удобствами что порой захожу просто отдохнуть",5,2025-08-12,2026-01-21 21:50:00
Carefood,yandex,"Люблю ТРЦ ГРАНД ПАРК. Город в городе! Работает до 22.00, есть много парковки-200тг, внутри такси-500тг за семью. 6 бутик- это огромный супер маркет, огромный ассортимент!",5,2024-08-27,2026-01-21 21:50:00
Carefood,yandex,"Супермаркет! Есть всё что угодно. Ассортимент огромный и цены вполне устраивают. Рекомендую. Когда бываю в Гранд-парке, обязательно закупаюсь и в Carefood.",5,2025-12-15,2026-01-21 21:50:00
Carefood,yandex,"Единственный филиал гипермаркета Carefood в Алматы. Магазин с хорошим выбором товаров, всегда можно найти то чего нету в магнуме или смоле. Например Иранскую продукцию (именно шоколад) неожиданно интересный на вкус. К персоналу вопросов нету.",5,2023-04-21,2026-01-21 21:50:00
Carefood,yandex,"Все можно купить в одном месте и продукты, и для дом животных, и косметику, и для детей товары. Внутри приятно находится, не как на складе с огромными стеллажами",5,2025-10-18,2026-01-21 21:50:00
Carefood,yandex,"Первый раз зашла в супермаркет. Незнаю, почему раньше не заходила. Им бы наладить доставку как Магнум, я бы только там и заказывала. Выкладка, всё по полочкам, аккуратненько, столько ассортимента, особенно бытовая химия, уходовая косметика, столько разнообразия. Однозначно рекомендую.",5,2025-01-12,2026-01-21 21:50:00
Carefood,yandex,"Если вы не нашли какого-то продукта или товара в супермаркете недалеко от вашего дома, то Carefood - это уникальный гипермаркет, в котором найдется практически всё!",5,2025-09-23,2026-01-21 21:50:00
Carefood,yandex,"Всё что брали, всегда свежее и вкусное. Большой ассортимент товара, много акций",5,2025-10-26,2026-01-21 21:50:00
Carefood,yandex,"Хороший продуктовый гипермаркет, мног чего есть. Но огромное но - нету пива холдного вообще. Выбор всего остального прям шикарен. Смотрите срок годности на продуктах",4,2025-03-08,2026-01-21 21:50:00
Carefood,yandex,"Огромный супермаркет с хорошим ассортиментом. Внутри чисто и просторно. Сотрудники вежливые. Выбор на товары бесконечный есть всё необходимое для дома. Цены чуть высоковаты, но зато есть редкая продукция типа экзотических фруктов, тофу и веганской кухни.",5,2023-10-18,2026-01-21 21:50:00
Carefood,yandex,Огромный выбор товаров. Отличное качество товаров. Приветливый персонал. Являюсь постоянным покупателем. Желаю процветания и много клиентов.,5,2024-11-21,2026-01-21 21:50:00
Carefood,yandex,"Цены выше чем в других супермаркетах. Зато огромнейший выбор всего. Если нужно купить шоколадок, их здесь огромный выбор. Бытовой химии тоже здесь великое множество. Одно удовольствие закупаться. Единственный минус нельзя входить со стороны кассы.",4,2024-03-07,2026-01-21 21:50:00
Carefood,yandex,Отличный гипермаркет! Очень большой выбор товаров разного назначения. Цены средние. Хорошее расположение! Большая парковка.,5,2025-06-08,2026-01-21 21:50:00
Carefood,yandex,"Очень большой ассортимент и выбор продуктов! Чисто, просторно, красиво! Уровень больших столичных супермаркетов.",5,2024-05-13,2026-01-21 21:50:00
Carefood,yandex,"Плюсов много: можно купить продукты, попить горячий чай с чесночным хлебом, покушать котлеты куриные и все под приятную музыку, да еще компот. Потом заказать Яндекс такси и уехать домой. Можно по дороге прикупить золотишко.",5,2026-01-04,2026-01-21 21:50:00
Carefood,yandex,"Хороший выбор продуктов. Продаётся начиная от продуктов питания, бытовых вещей, канцтоварами и заканчивая домашними растениями. Продукты все свежие. Кассиры вежливые.",5,2024-04-10,2026-01-21 21:50:00
Carefood,yandex,"Большой магазин, и очень большой ассортимент товаров. Очень нравится бывать там. Единственное что немного отталкивает это цены, на некоторые товары, немного завышены.",4,2025-07-13,2026-01-21 21:50:00
Carefood,yandex,"Последняя поездка разочаровала. Площади большие, выбор в каждом бутике как под копирку. Качество очень слабое, а цены заоблочные.",1,2025-04-30,2026-01-21 21:50:00
Carefood,yandex,"Топовый гипермаркет лучше магнумов всяких. Выбор огромный, цены невысокие. Молодцы. Какия кулинария и пекарня! Странно, что не дают рекламу - наткнулся на него, можно сказать, случайно.",5,2025-06-04,2026-01-21 21:50:00
Carefood,yandex,"Классно! Если кофе Якобс везде стоит 120, кое где даже 150, а тут за 89 тенге! Плюс есть отдельный персонал который точно знает где, какой товар лежит.",5,2025-06-28,2026-01-21 21:50:00
Carefood,yandex,"Работаю неподалеку. Замечательный магазин. Огромный ассортимент, есть и товары для домашних животных, что приятно удивило. Всегда много акций и островки с готовой едой прекрасны)",5,2024-03-25,2026-01-21 21:50:00
Carefood,yandex,"Замечательный магазин. Много еды для веганов и вегетерианцев! Большой выбор разного чая, есть даже гречишный. Можно купить посуду и всё для дома.",5,2024-02-22,2026-01-21 21:50:00
Carefood,yandex,"Здесь есть всё что нужно начиная с продуктов заканивая парфюмом парковка огромная, можно перекусить, есть много игрвых площадок, правда дороговато",4,2025-03-07,2026-01-21 21:50:00
Carefood,yandex,"Отличный магазин с товарами для всех потребителей! Так же есть товары для гурманов, огромное разнообразие детского питания. Для людей с диабетом, большой ассортимент для друзей наших меньших.",5,2024-04-16,2026-01-21 21:50:00
Carefood,yandex,"Хороший выбор продуктов, товаров для дома, бытовой химии, косметики. Цены довольно высокие на аналогичные товары. Но постоянно есть акции и скидки на определённые товары.",4,2023-11-19,2026-01-21 21:50:00
Carefood,yandex,"Хороший супермаркет, можно найти продукты которых нет в других супермаркетах, удобно для жителей близлежащих домов. Есть собственная кулинария и пекарня.",5,2024-05-11,2026-01-21 21:50:00
Carefood,yandex,"Ну самое главное что можно сказать это конечно разнообразие, очень очень хороший выбор, есть кажется все))) Удобное расположение продуктов, все в поле зрения, не сложно найти то, что понадобилось.",5,2022-11-18,2026-01-21 21:50:00
Carefood,yandex,Люблю гулять здесь и выбирать продукты. Огромный выбор товаров разных сортов и брендов. Особенно люблю искать акционные товары,5,2025-04-04,2026-01-21 21:50:00
Carefood,yandex,"Уютный хороший маркет, радует что есть вещи правильного питания, берем постоянно, отвечаю)",5,2025-10-28,2026-01-21 21:50:00
Carefood,yandex,"Ассортимент большой, а точнее огромный. Много уникальных товаров. Цены очень высокие.",4,2025-08-26,2026-01-21 21:50:00
Carefood,yandex,"большой очень супермаркет с огромный ассортиментом. Чисто, прохладно летом, товар выставлен аккуратно, вежливые сотрудники.",5,2024-06-03,2026-01-21 21:50:00
Carefood,yandex,Мне однозначно нравится этот супермаркет! Отличный выбор практически по всем позициям и на любой кошелек. Есть определенные моменты за которые хочется аплодировать.,5,2023-01-04,2026-01-21 21:50:00
Carefood,yandex,"Хороший выбор, удобное расположение. Просторный зал с коляской и продуктовой корзиной очень удобно ходить. Хороший ассортимент. Светло, комфортно. Очень хороший выбор «химии», детских товаров.",5,2023-05-12,2026-01-21 21:50:00
Carefood,yandex,Мне очень понравилась этот магазин во первых ассортимент товаров очень много и персоналы вежливо отвечает. В магазине чистота. Расположена в очень хорошем районе.,5,2024-05-21,2026-01-21 21:50:00
Carefood,yandex,"Далековато расположен, но иногда туда приезжаю за продуктами для здорового питания. Широкий выбор бытовой химии, товаров для дома и продуктов. Несколько выше среднего по ценам.",2,2023-02-28,2026-01-21 21:50:00
Carefood,yandex,"Мой самый любимый супермаркет, просто обожаю когда есть где погулять и из чего выбрать, огромнейший ассортимент товаров, все аккуратно чисто красиво. Кулинария там на высшем уровне",5,2023-09-15,2026-01-21 21:50:00
Carefood,yandex,"Мне нравится Carefood тем, что там много разных товаров для здоровья, большой выбор, бытовой химии и также товаров для детей тоже большое разнообразие.",5,2024-08-16,2026-01-21 21:50:00
Carefood,yandex,"Вроде ассортимента много, но есть нечего))), на мой взгляд забит ненужными товарами больше, чем продуктами Да и с переводом проблема, интернет почти не ловит Готовая продукция вся снаружи",2,2023-09-03,2026-01-21 21:50:00
