company,source,review_text,rating,review_date,scraped_at
Magnum,yandex,"Очень понравился магазин! Большой выбор товаров, всё аккуратно разложено, легко найти нужное. Персонал вежливый и всегда готов помочь. Заказ оформили быстро, доставка пришла вовремя и в отличном состоянии. Цены адекватные, часто бывают хорошие скидки",5,2025-08-07,2026-01-21 21:35:00
Magnum,yandex,"Магазин в целом хороший ассортимент большой, чисто, цены приемлемые. Но вот с кассами здесь настоящая беда. Касс установлено много, но работают максимум одна-две. Из-за этого всегда огромные очереди. Касса самообслуживания есть, но и там постоянно...",4,2025-06-23,2026-01-21 21:35:00
Magnum,yandex,"Просторный гипермаркет предлагает широкий ассортимент товаров для всей семьи. Несмотря на общую удовлетворительность от посещения, иногда возникают длительные очереди на кассах. Это может несколько омрачить покупку, особенно в часы пик. В целом, магазин производит положительное впечатление и рекомендуется для посещения.",5,2025-06-04,2026-01-21 21:35:00
Magnum,yandex,"Не могут поставить микроволновку в отдел выпечки, расстроили, сам как торговый дом устраивает, много чего есть, все близко и доступно",2,2025-10-22,2026-01-21 21:35:00
Magnum,yandex,"Была давно уже, всё больше онлайн заказываю, а тут подъехали заказать донеры ну и зашли. Смотрю сократили на половину, всё так компактно стало. Много касс самообслуживания хороший плюс. Хорошо что у всех Магнумов расположение товаров одинаковые поэтому быстро сориентировались. Ну как всегда всё отлично.",5,2025-02-02,2026-01-21 21:35:00
Magnum,yandex,"Хороший магазин. Можно купить товары разного качества и ценовой категории. Иногда нет свежей зелени и свежих овощей и фруктов. Захотелось купить свежий зелёный лук и ничего не вышло. Очень хорошо, что есть касса самообслуживания",4,2024-08-10,2026-01-21 21:35:00
Magnum,yandex,"Любимый и один из самых больших супермаркетов. Всегда удобно, есть всё от еды до лопат и одежды. Работники выглядят опрятно",5,2025-12-29,2026-01-21 21:35:00
Magnum,yandex,"Хорошее обслуживание, можно найти почти все, парковка удобная с любой стороны заезды и выезды, мне понравилось",5,2025-11-06,2026-01-21 21:35:00
Magnum,yandex,"Товара много, кассы всегда очередь, персонал сам многое не знает, шкафчики для хранения всегда не работают. Многие овощи уже можно убрать, так как не пригодны, но они всё ещё лежат на прилавках. Туалет всегда грязно и нет туалетной бумаги, мыла. Парковка удобная.",2,2024-07-15,2026-01-21 21:35:00
Magnum,yandex,Всегда покупаю там продукты! Выбор очень большой! Все всегда свежее! Овощи по доступным ценам! Всегда проводят разные акции и скидки!,5,2024-11-12,2026-01-21 21:35:00
Magnum,yandex,Хорошая сеть магазинов большой ассортимент товаров обслуживание на уровне не нравится что больше половины касс не работает и поэтому большие очереди,4,2024-11-05,2026-01-21 21:35:00
Magnum,yandex,"Всегда все есть, в одном месте можно закупиться по демократичным ценам. Хорошие скидки, вежливый персонал. Все устраивает.",5,2025-11-24,2026-01-21 21:35:00
Magnum,yandex,"Открыт 24 часа, чем и привлекателен. Купить можно абсолютно всё. На рыбалку, выезд за город итд. спокойно закупаешь всё в одном месте. На территории есть так же круглосуточный рыбацкий магазин.",5,2024-09-02,2026-01-21 21:35:00
Magnum,yandex,"Всем добрый день. Магнум сеть магазинов довольно большая и я обслуживаюсь уже много лет. Ранее приобретала продукты питания и товары в больших гипермаркетах Magnum Cash&Carry, сейчас в основном в Magnum Express",5,2025-05-02,2026-01-21 21:35:00
